run_dir,run_id,algorithm,package,env_id,seed,final_checkpoint_step,final_success_rate,final_return_ext_mean,best_success_rate,success_rate_auc,first_key_global_step,first_door_global_step,first_room_global_step,first_success_global_step,train_success_episodes,episode_count,post_discovery_to_25_success,post_discovery_to_50_success,post_discovery_to_75_success
outputs/pilot_16x16/doorkey_16x16/dqn_1step/seed0,dqn_1step_doorkey_16x16_seed0,dqn_1step,minimum,doorkey_16x16,0,500000,0.0,0.0,0.0,0.0,3445.0,87404.0,88998.0,137323.0,1,195,,,
outputs/pilot_16x16/doorkey_16x16/dqn_nstep/seed0,dqn_nstep_doorkey_16x16_seed0,dqn_nstep,minimum,doorkey_16x16,0,500000,0.0,0.0,0.0,0.0,1622.0,24920.0,,,0,195,,,
outputs/pilot_16x16/doorkey_16x16/dqn_ride_1step/seed0,dqn_ride_1step_doorkey_16x16_seed0,dqn_ride_1step,minimum,doorkey_16x16,0,500000,0.0,0.0,0.0,0.0,2670.0,25124.0,25162.0,,0,195,,,
outputs/pilot_16x16/doorkey_16x16/dqn_ride_nstep/seed0,dqn_ride_nstep_doorkey_16x16_seed0,dqn_ride_nstep,minimum,doorkey_16x16,0,500000,0.0,0.0,0.0,0.0,5262.0,36937.0,37114.0,,0,195,,,
