step,action,action_name,reward,done,truncated,agent_x,agent_y,agent_dir,carrying
1,0,left,0.0,False,False,1,3,3,
2,3,pickup,0.0,False,False,1,3,3,key
3,1,right,0.0,False,False,1,3,0,key
4,5,toggle,0.0,False,False,1,3,0,key
5,2,forward,0.0,False,False,2,3,0,key
6,2,forward,0.0,False,False,3,3,0,key
7,1,right,0.0,False,False,3,3,1,key
8,2,forward,0.0,False,False,3,4,1,key
9,0,left,0.0,False,False,3,4,0,key
10,2,forward,0.975,True,False,4,4,0,key
