step,name,value
51,train/loss,0.0024521120358258486
51,train/q_mean,0.0814303308725357
51,train/target_mean,0.09946788847446442
51,train/reward_ext_mean,0.0
51,train/reward_train_mean,0.0
51,train/reward_ride_mean,0.0
52,train/loss,0.0018831409979611635
52,train/q_mean,0.08233322948217392
52,train/target_mean,0.08959318697452545
52,train/reward_ext_mean,0.0
52,train/reward_train_mean,0.0
52,train/reward_ride_mean,0.0
53,train/loss,0.002854366321116686
53,train/q_mean,0.07313834130764008
53,train/target_mean,0.11210495233535767
53,train/reward_ext_mean,0.0
53,train/reward_train_mean,0.0
53,train/reward_ride_mean,0.0
54,train/loss,0.0020338292233645916
54,train/q_mean,0.08293718844652176
54,train/target_mean,0.09911863505840302
54,train/reward_ext_mean,0.0
54,train/reward_train_mean,0.0
54,train/reward_ride_mean,0.0
55,train/loss,0.0014249818632379174
55,train/q_mean,0.06709370762109756
55,train/target_mean,0.06737314909696579
55,train/reward_ext_mean,0.0
55,train/reward_train_mean,0.0
55,train/reward_ride_mean,0.0
56,train/loss,0.003075782209634781
56,train/q_mean,0.06940264999866486
56,train/target_mean,0.05241475999355316
56,train/reward_ext_mean,0.0
56,train/reward_train_mean,0.0
56,train/reward_ride_mean,0.0
57,train/loss,0.0015605043154209852
57,train/q_mean,0.06844776123762131
57,train/target_mean,0.06472229957580566
57,train/reward_ext_mean,0.0
57,train/reward_train_mean,0.0
57,train/reward_ride_mean,0.0
58,train/loss,0.0031428865622729063
58,train/q_mean,0.07923698425292969
58,train/target_mean,0.030723119154572487
58,train/reward_ext_mean,0.0
58,train/reward_train_mean,0.0
58,train/reward_ride_mean,0.0
59,train/loss,0.0026832129806280136
59,train/q_mean,0.06174526363611221
59,train/target_mean,0.01937461458146572
59,train/reward_ext_mean,0.0
59,train/reward_train_mean,0.0
59,train/reward_ride_mean,0.0
60,train/loss,0.003999550826847553
60,train/q_mean,0.0763917863368988
60,train/target_mean,0.003248607274144888
60,train/reward_ext_mean,0.0
60,train/reward_train_mean,0.0
60,train/reward_ride_mean,0.0
61,train/loss,0.002071380615234375
61,train/q_mean,0.062201548367738724
61,train/target_mean,0.011004840023815632
61,train/reward_ext_mean,0.0
61,train/reward_train_mean,0.0
61,train/reward_ride_mean,0.0
62,train/loss,0.005875434726476669
62,train/q_mean,0.06836679577827454
62,train/target_mean,0.012229589745402336
62,train/reward_ext_mean,0.0
62,train/reward_train_mean,0.0
62,train/reward_ride_mean,0.0
63,train/loss,0.003969990648329258
63,train/q_mean,0.058093879371881485
63,train/target_mean,0.0004212423227727413
63,train/reward_ext_mean,0.0
63,train/reward_train_mean,0.0
63,train/reward_ride_mean,0.0
64,train/loss,0.003513092640787363
64,train/q_mean,0.0562412366271019
64,train/target_mean,0.021178118884563446
64,train/reward_ext_mean,0.0
64,train/reward_train_mean,0.0
64,train/reward_ride_mean,0.0
65,train/loss,0.004089239984750748
65,train/q_mean,0.06434724479913712
65,train/target_mean,0.0037383639719337225
65,train/reward_ext_mean,0.0
65,train/reward_train_mean,0.0
65,train/reward_ride_mean,0.0
66,train/loss,0.00404463242739439
66,train/q_mean,0.06381496042013168
66,train/target_mean,-0.002273041754961014
66,train/reward_ext_mean,0.0
66,train/reward_train_mean,0.0
66,train/reward_ride_mean,0.0
67,train/loss,0.004198471549898386
67,train/q_mean,0.05988847091794014
67,train/target_mean,-0.006571749225258827
67,train/reward_ext_mean,0.0
67,train/reward_train_mean,0.0
67,train/reward_ride_mean,0.0
68,train/loss,0.002633551135659218
68,train/q_mean,0.05769438296556473
68,train/target_mean,0.011326450854539871
68,train/reward_ext_mean,0.0
68,train/reward_train_mean,0.0
68,train/reward_ride_mean,0.0
69,train/loss,0.004875853657722473
69,train/q_mean,0.06572198867797852
69,train/target_mean,-0.0006383489817380905
69,train/reward_ext_mean,0.0
69,train/reward_train_mean,0.0
69,train/reward_ride_mean,0.0
70,train/loss,0.0037307736929506063
70,train/q_mean,0.04384280741214752
70,train/target_mean,-0.02340060845017433
70,train/reward_ext_mean,0.0
70,train/reward_train_mean,0.0
70,train/reward_ride_mean,0.0
71,train/loss,0.003674052655696869
71,train/q_mean,0.05613277107477188
71,train/target_mean,-0.008087055757641792
71,train/reward_ext_mean,0.0
71,train/reward_train_mean,0.0
71,train/reward_ride_mean,0.0
72,train/loss,0.004423955455422401
72,train/q_mean,0.05465613678097725
72,train/target_mean,-0.0362623929977417
72,train/reward_ext_mean,0.0
72,train/reward_train_mean,0.0
72,train/reward_ride_mean,0.0
73,train/loss,0.0030737025663256645
73,train/q_mean,0.05078383907675743
73,train/target_mean,-0.0059756627306342125
73,train/reward_ext_mean,0.0
73,train/reward_train_mean,0.0
73,train/reward_ride_mean,0.0
74,train/loss,0.004755951464176178
74,train/q_mean,0.05063634365797043
74,train/target_mean,-0.03603585436940193
74,train/reward_ext_mean,0.0
74,train/reward_train_mean,0.0
74,train/reward_ride_mean,0.0
75,train/loss,0.004015840124338865
