run_dir,run_id,algorithm,package,env_id,seed,final_checkpoint_step,final_success_rate,final_return_ext_mean,best_success_rate,success_rate_auc,first_key_global_step,first_door_global_step,first_room_global_step,first_success_global_step,train_success_episodes,episode_count,post_discovery_to_25_success,post_discovery_to_50_success,post_discovery_to_75_success
outputs/nstep_diagnostics_parallel/2026-05-31_06-52-56/doorkey_8x8/dqn_nstep/cap500k_eps500k_end01/seed0,dqn_nstep_doorkey_8x8_seed0,dqn_nstep,minimum,doorkey_8x8,0,1000000,0.0,0.0,0.0,0.0,176.0,7296.0,22651.0,22752.0,28,1571,,,
outputs/nstep_diagnostics_parallel/2026-05-31_06-52-56/doorkey_8x8/dqn_nstep/eps1m_end01/seed0,dqn_nstep_doorkey_8x8_seed0,dqn_nstep,minimum,doorkey_8x8,0,1000000,0.54,0.5234203125,0.56,0.0852,176.0,2700.0,3173.0,17727.0,3911,4680,762273.0,872273.0,
outputs/nstep_diagnostics_parallel/2026-05-31_06-52-56/doorkey_8x8/dqn_nstep/eps500k_end01/seed0,dqn_nstep_doorkey_8x8_seed0,dqn_nstep,minimum,doorkey_8x8,0,1000000,0.0,0.0,0.0,0.0,176.0,7296.0,22651.0,22752.0,20,1569,,,
outputs/nstep_diagnostics_parallel/2026-05-31_06-52-56/doorkey_8x8/dqn_nstep/eps500k_end02/seed0,dqn_nstep_doorkey_8x8_seed0,dqn_nstep,minimum,doorkey_8x8,0,1000000,0.0,0.0,0.08,0.0072,176.0,3111.0,3199.0,15278.0,841,2089,,,
