package,env_id,algorithm,metric,n,mean,median,ci95_low,ci95_high
minimum,doorkey_8x8,dqn_nstep,final_success_rate,4,0.135,0.0,0.0,0.405
minimum,doorkey_8x8,dqn_nstep,best_success_rate,4,0.16,0.04,0.0,0.42000000000000004
minimum,doorkey_8x8,dqn_nstep,success_rate_auc,4,0.0231,0.0036,0.0,0.0639
minimum,doorkey_8x8,dqn_nstep,first_key_global_step,4,176.0,176.0,176.0,176.0
minimum,doorkey_8x8,dqn_nstep,first_door_global_step,4,5100.75,5203.5,2905.5,7296.0
minimum,doorkey_8x8,dqn_nstep,first_success_global_step,4,19627.25,20239.5,16502.5,22752.0
minimum,doorkey_8x8,dqn_nstep,post_discovery_to_50_success,1,872273.0,872273.0,872273.0,872273.0
