run_dir,run_id,algorithm,package,env_id,seed,final_checkpoint_step,final_success_rate,final_return_ext_mean,best_success_rate,success_rate_auc,first_key_global_step,first_door_global_step,first_room_global_step,first_success_global_step,train_success_episodes,episode_count,post_discovery_to_25_success,post_discovery_to_50_success,post_discovery_to_75_success
outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed0,dqn_ride_1step_doorkey_8x8_seed0,dqn_ride_1step,minimum,doorkey_8x8,0,1000000,0.0,0.0,0.08,0.004,176.0,2700.0,31809.0,68588.0,1006,2164,,,
outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed1,dqn_ride_1step_doorkey_8x8_seed1,dqn_ride_1step,minimum,doorkey_8x8,1,1000000,0.0,0.0,0.0,0.0,242.0,2160.0,8671.0,18932.0,138,1613,,,
outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed2,dqn_ride_1step_doorkey_8x8_seed2,dqn_ride_1step,minimum,doorkey_8x8,2,1000000,0.0,0.0,0.0,0.0,228.0,560.0,15480.0,15787.0,170,1632,,,
outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed3,dqn_ride_1step_doorkey_8x8_seed3,dqn_ride_1step,minimum,doorkey_8x8,3,1000000,0.0,0.0,0.0,0.0,362.0,1172.0,6224.0,43258.0,184,1638,,,
outputs/8x8_ride_1step_final/2026-06-04_15-04-32/doorkey_8x8/dqn_ride_1step/seed4,dqn_ride_1step_doorkey_8x8_seed4,dqn_ride_1step,minimum,doorkey_8x8,4,1000000,0.0,0.0,0.05,0.0012,122.0,3136.0,3138.0,14983.0,615,1903,,,
